quarter,station,corridor,dpr_projected_daily_ridership,actual_daily_ridership,actual_vs_projected_pct,last_mile_score,fare_sensitivity_score,common_mobility_card_share
2025-Q1,S001,Phase I,11000,5280,48.0,45,30,22
2025-Q2,S002,Phase I Extension,13250,7288,55.0,56,43,27
2025-Q3,S003,Phase II,15100,9362,62.0,67,56,32
2025-Q4,S004,Phase I,12350,8522,69.0,78,69,37
2025-Q1,S005,Phase I Extension,14600,11096,76.0,89,82,42
2025-Q2,S006,Phase II,16450,7896,48.0,50,95,47
2025-Q3,S007,Phase I,13700,7535,55.0,61,38,52
2025-Q4,S008,Phase I Extension,15950,9889,62.0,72,51,57
2025-Q1,S009,Phase II,17800,12282,69.0,83,64,62
2025-Q2,S010,Phase I,15050,11438,76.0,94,77,67
2025-Q3,S011,Phase I Extension,17300,8304,48.0,55,90,72
2025-Q4,S012,Phase II,19150,10532,55.0,66,33,77
2025-Q1,S013,Phase I,16400,10168,62.0,77,46,82
2025-Q2,S014,Phase I Extension,18650,12868,69.0,88,59,22
2025-Q3,S015,Phase II,20500,15580,76.0,49,72,27
2025-Q4,S016,Phase I,17750,8520,48.0,60,85,32
2025-Q1,S017,Phase I Extension,20000,11000,55.0,71,98,37
2025-Q2,S018,Phase II,21850,13547,62.0,82,41,42
2025-Q3,S019,Phase I,19100,13179,69.0,93,54,47
2025-Q4,S020,Phase I Extension,21350,16226,76.0,54,67,52
2025-Q1,S021,Phase II,23200,11136,48.0,65,80,57
2025-Q2,S022,Phase I,20450,11248,55.0,76,93,62
2025-Q3,S023,Phase I Extension,22700,14074,62.0,87,36,67
2025-Q4,S024,Phase II,24550,16940,69.0,48,49,72
2025-Q1,S025,Phase I,21800,16568,76.0,59,62,77
2025-Q2,S026,Phase I Extension,24050,11544,48.0,70,75,82
2025-Q3,S027,Phase II,25900,14245,55.0,81,88,22
2025-Q4,S028,Phase I,23150,14353,62.0,92,31,27
2025-Q1,S029,Phase I Extension,25400,17526,69.0,53,44,32
2025-Q2,S030,Phase II,27250,20710,76.0,64,57,37
2025-Q3,S031,Phase I,11000,5280,48.0,75,70,42
2025-Q4,S032,Phase I Extension,13250,7288,55.0,86,83,47
2025-Q1,S033,Phase II,15100,9362,62.0,47,96,52
2025-Q2,S034,Phase I,12350,8522,69.0,58,39,57
2025-Q3,S035,Phase I Extension,14600,11096,76.0,69,52,62
2025-Q4,S036,Phase II,16450,7896,48.0,80,65,67
2025-Q1,S037,Phase I,13700,7535,55.0,91,78,72
2025-Q2,S038,Phase I Extension,15950,9889,62.0,52,91,77
2025-Q3,S039,Phase II,17800,12282,69.0,63,34,82
2025-Q4,S040,Phase I,15050,11438,76.0,74,47,22
2025-Q1,S041,Phase I Extension,17300,8304,48.0,85,60,27
2025-Q2,S042,Phase II,19150,10532,55.0,46,73,32
2025-Q3,S043,Phase I,16400,10168,62.0,57,86,37
2025-Q4,S044,Phase I Extension,18650,12868,69.0,68,99,42
2025-Q1,S045,Phase II,20500,15580,76.0,79,42,47
2025-Q2,S046,Phase I,17750,8520,48.0,90,55,52
2025-Q3,S047,Phase I Extension,20000,11000,55.0,51,68,57
2025-Q4,S048,Phase II,21850,13547,62.0,62,81,62
2025-Q1,S049,Phase I,19100,13179,69.0,73,94,67
2025-Q2,S050,Phase I Extension,21350,16226,76.0,84,37,72
2025-Q3,S051,Phase II,23200,11136,48.0,45,50,77
2025-Q4,S052,Phase I,20450,11248,55.0,56,63,82
2025-Q1,S053,Phase I Extension,22700,14074,62.0,67,76,22
2025-Q2,S054,Phase II,24550,16940,69.0,78,89,27
2025-Q3,S055,Phase I,21800,16568,76.0,89,32,32
2025-Q4,S056,Phase I Extension,24050,11544,48.0,50,45,37
2025-Q1,S057,Phase II,25900,14245,55.0,61,58,42
2025-Q2,S058,Phase I,23150,14353,62.0,72,71,47
2025-Q3,S059,Phase I Extension,25400,17526,69.0,83,84,52
2025-Q4,S060,Phase II,27250,20710,76.0,94,97,57
