quarter,station,corridor,dpr_projected_daily_ridership,actual_daily_ridership,actual_vs_projected_pct,last_mile_score,fare_sensitivity_score,common_mobility_card_share
2025-Q1,PhaseI-01,Phase I,11000,5280,48.0,45,30,22
2025-Q2,PhaseI-02,Phase I Extension,13220,7271,55.0,56,43,27
2025-Q3,PhaseI-03,Phase II,15040,9325,62.0,67,56,32
2025-Q4,PhaseI-04,Phase I,12260,8459,69.0,78,69,37
2025-Q1,PhaseI-05,Phase I Extension,14480,11005,76.0,89,82,42
2025-Q2,PhaseI-06,Phase II,16300,7824,48.0,49,95,47
2025-Q3,PhaseI-07,Phase I,13520,7436,55.0,60,37,52
2025-Q4,PhaseI-08,Phase I Extension,15740,9759,62.0,71,50,57
2025-Q1,PhaseI-09,Phase II,17560,12116,69.0,82,63,62
2025-Q2,PhaseI-10,Phase I,14780,11233,76.0,93,76,67
2025-Q3,PhaseI-11,Phase I Extension,17000,8160,48.0,53,89,72
2025-Q4,PhaseI-12,Phase II,18820,10351,55.0,64,31,77
2025-Q1,PhaseI-13,Phase I,16040,9945,62.0,75,44,82
2025-Q2,PhaseI-14,Phase I Extension,18260,12599,69.0,86,57,22
2025-Q3,PhaseI-15,Phase II,20080,15261,76.0,46,70,27
2025-Q4,PhaseI-16,Phase I,17300,8304,48.0,57,83,32
2025-Q1,PhaseI-17,Phase I Extension,19520,10736,55.0,68,96,37
2025-Q2,PhaseI-18,Phase II,21340,13231,62.0,79,38,42
2025-Q3,PhaseI-19,Phase I,18560,12806,69.0,90,51,47
2025-Q4,PhaseI-20,Phase I Extension,20780,15793,76.0,50,64,52
2025-Q1,PhaseI-21,Phase II,22600,10848,48.0,61,77,57
2025-Q2,PhaseI-22,Phase I,19820,10901,55.0,72,90,62
2025-Q3,PhaseI-23,Phase I Extension,22040,13665,62.0,83,32,67
2025-Q4,PhaseI-24,Phase II,23860,16463,69.0,94,45,72
2025-Q1,PhaseI-25,Phase I,21080,16021,76.0,54,58,77
2025-Q2,PhaseI-26,Phase I Extension,23300,11184,48.0,65,71,82
2025-Q3,PhaseI-27,Phase II,25120,13816,55.0,76,84,22
2025-Q4,PhaseI-28,Phase I,22340,13851,62.0,87,97,27
2025-Q1,PhaseI-29,Phase I Extension,24560,16946,69.0,47,39,32
2025-Q2,PhaseI-30,Phase II,26380,20049,76.0,58,52,37
2025-Q3,PhaseI-31,Phase I,23600,11328,48.0,69,65,42
2025-Q4,PhaseI-32,Phase I Extension,25820,14201,55.0,80,78,47
2025-Q1,PhaseI-33,Phase II,27640,17137,62.0,91,91,52
2025-Q2,PhaseI-34,Phase I,24860,17153,69.0,51,33,57
2025-Q3,PhaseI-35,Phase I Extension,27080,20581,76.0,62,46,62
2025-Q4,PhaseI-36,Phase II,28900,13872,48.0,73,59,67
2025-Q1,PhaseI-37,Phase I,26120,14366,55.0,84,72,72
2025-Q2,PhaseI-38,Phase I Extension,28340,17571,62.0,95,85,77
2025-Q3,PhaseI-39,Phase II,30160,20810,69.0,55,98,82
2025-Q4,PhaseI-40,Phase I,27380,20809,76.0,66,40,22
2025-Q1,PhaseI-41,Phase I Extension,29600,14208,48.0,77,53,27
2025-Q2,PhaseI-01,Phase II,14200,7810,55.0,88,66,32
2025-Q3,PhaseI-02,Phase I,11420,7080,62.0,48,79,37
2025-Q4,PhaseI-03,Phase I Extension,13640,9412,69.0,59,92,42
2025-Q1,PhaseI-04,Phase II,15460,11750,76.0,70,34,47
2025-Q2,PhaseI-05,Phase I,12680,6086,48.0,81,47,52
2025-Q3,PhaseI-06,Phase I Extension,14900,8195,55.0,92,60,57
2025-Q4,PhaseI-07,Phase II,16720,10366,62.0,52,73,62
2025-Q1,PhaseI-08,Phase I,13940,9619,69.0,63,86,67
2025-Q2,PhaseI-09,Phase I Extension,16160,12282,76.0,74,99,72
2025-Q3,PhaseI-10,Phase II,17980,8630,48.0,85,41,77
2025-Q4,PhaseI-11,Phase I,15200,8360,55.0,45,54,82
2025-Q1,PhaseI-12,Phase I Extension,17420,10800,62.0,56,67,22
2025-Q2,PhaseI-13,Phase II,19240,13276,69.0,67,80,27
2025-Q3,PhaseI-14,Phase I,16460,12510,76.0,78,93,32
2025-Q4,PhaseI-15,Phase I Extension,18680,8966,48.0,89,35,37
2025-Q1,PhaseI-16,Phase II,20500,11275,55.0,49,48,42
2025-Q2,PhaseI-17,Phase I,17720,10986,62.0,60,61,47
2025-Q3,PhaseI-18,Phase I Extension,19940,13759,69.0,71,74,52
2025-Q4,PhaseI-19,Phase II,21760,16538,76.0,82,87,57
2025-Q1,PhaseI-20,Phase I,18980,9110,48.0,93,100,62
2025-Q2,PhaseI-21,Phase I Extension,21200,11660,55.0,53,42,67
2025-Q3,PhaseI-22,Phase II,23020,14272,62.0,64,55,72
2025-Q4,PhaseI-23,Phase I,20240,13966,69.0,75,68,77
2025-Q1,PhaseI-24,Phase I Extension,22460,17070,76.0,86,81,82
